tags,developer,publisher,day,year,price,score
"Steam Cloud,Party-Based RPG,Crafting,Character Customization,Multiplayer,Steam Workshop,Co-op Campaign,Story Rich,Shared/Split Screen PvP,Female Protagonist,Shared/Split Screen Co-op,Isometric,Moddable,Turn-Based Combat,Turn-Based,Captions available,Turn-Based Tactics,Online PvP,Online Co-op,CRPG,Perma Death,Fantasy,Strategy,RPG,Open World,PvP,Single-player,Choices Matter,Includes level editor",Larian Studios,Larian Studios,257,2017,44.99,93.46643544
"Steam Cloud,Third Person,Character Customization,Multiplayer,Story Rich,PvE,Action,Hunting,Difficult,Downloadable Content,Adventure,Exploration,Dragons,Stats,Hack and Slash,Co-op,RPG,Open World,Single-player,Steam Leaderboards,JRPG,Online Co-Op",CAPCOM Co.,CAPCOM Co.,9,2020,39.99,48.54244069
"Steam Cloud,Simulation,Underwater,Massively Multiplayer,Crafting,Multiplayer,Sandbox,Survival,Open World Survival Craft,Action,Building,Adventure,Indie,First-Person,Online PvP,Online Co-op, Base Building,Co-op,Early Access,Strategy,Open World,Single-player,Online Co-Op",Redbeet Interactive,Axolot Games,143,2018,19.99,88.36226553
"Steam Cloud,Shooter,Multiplayer,Steam Workshop,Post-apocalyptic,Team-Based,Gore,Survival,Action,Moddable,Adventure,Horror,FPS,Captions available,First-Person,Online PvP,Stats,Online Co-op,Replay Value,Tactical,Co-op,Survival Horror,Zombies,Single-player,Local Co-Op,Online Co-Op",Valve,Valve,320,2009,9.99,95.88021946
"Futuristic,Shooter,Steam Workshop,Story Rich,Sci-fi,Gore,Female Protagonist,Psychological Horror,Action,VR,Adventure,Horror,FPS,Aliens,Captions available,First-Person,Memes,Beautiful,Great Soundtrack,Atmospheric,Zombies,Single-player,Includes level editor",Valve,Valve,83,2020,59.99,95.86384982
"Third Person,Multiplayer,Story Rich,Gore,War,Action,Medieval,Swordplay,Online PvP,MOBA,Online Co-op,Hack and Slash,Fighting,Atmospheric,Co-op,Fantasy,Realistic,In-App Purchases,Strategy,RPG,PvP,Single-player,Online Co-Op","Ubisoft Montreal, Ubisoft Quebec, Ubisoft Toronto, Blue Byte",Ubisoft,44,2017,14.99,60.80160559
"Alternate History,Multiplayer,Mechs, Grand Strategy,Sci-fi,War,Gore,Action,Steampunk,Competitive,Casual,RTS,Online PvP,Online Co-op, Base Building,Co-op,Strategy,World War I,PvP,Single-player,Real-Time,Online Co-Op",KING Art,Deep Silver,245,2020,49.99,67.5447856
"Steam Cloud,Simulation,Family Friendly,Sandbox,Multiplayer,Economy,Building,Indie,Casual,Management,Design & Illustration,First-Person,Memes,Destruction,Education, Base Building,Realistic,Relaxing,Strategy,Single-player,Funny",Empyrean,Frozen District,137,2018,19.99,86.95542923
"Steam Cloud,Futuristic,Simulation,Sandbox,Steam Workshop,Multiplayer, Grand Strategy,Military,Sci-fi,4X,Moddable,Diplomacy,Management,Exploration,Space,Real-Time with Pause,Great Soundtrack,Replay Value,Procedural Generation,Atmospheric,Strategy,Cross-Platform Multiplayer,Single-player",Paradox Development Studio,Paradox Interactive,130,2016,39.99,83.47450337
"Steam Cloud,Simulation,Family Friendly,Sandbox,Steam Workshop,City Builder,Economy,Building,Horses,Nature,Casual,Management,Resource Management,Cute,Great Soundtrack,Atmospheric,Realistic,Relaxing,Strategy,Open World,Single-player,Funny",Frontier Developments,Frontier Developments ,309,2019,44.99,85.98147915
"Simulation,Third Person,Historical,Character Customization,Multiplayer,Sandbox,War,Action,Moddable,Horses,Medieval,Adventure,First-Person,Online PvP,Great Soundtrack,Early Access,Realistic,Strategy,RPG,Open World,Single-player",TaleWorlds Entertainment,TaleWorlds Entertainment,90,2020,49.99,84.6807227
"Shooter,Simulation,Multiplayer,Steam Workshop,Sandbox,Team-Based,LAN PvP,Military,War,Action,Moddable,LAN Co-op,FPS,Third-Person Shooter,Captions available,First-Person,Online PvP,Online Co-op,Tactical,Co-op,Realistic,Strategy,Open World,Single-player,Steam Leaderboards,Combat,Includes level editor,Online Co-Op",Bohemia Interactive,Bohemia Interactive,255,2013,29.99,88.68119552
"Steam Cloud,Violent,Shooter,Multiplayer,Post-apocalyptic,Blood,Story Rich,Sci-fi,Gore,Mature,Action,Difficult,Adventure,Fast-Paced,FPS,Horror,First-Person,Online PvP,Great Soundtrack,Atmospheric,Demons,Single-player",id Software,Bethesda Softworks,79,2020,59.99,84.48932971
"Steam Cloud,Remake,1990's,FMV,Soundtrack,Real Time Tactics,Multiplayer,Steam Workshop,War,Games Workshop,Isometric,RTS,Cinematic,Online PvP,Tanks,Great Soundtrack,Replay Value, Base Building,Level Editor,Strategy,Classic,PvP,Single-player,Includes level editor","Petroglyph, Lemon Sky Studios",Electronic Arts,157,2020,19.99,87.46882107
"Steam Cloud,Third Person,Sandbox,Multiple Endings,Story Rich,Mature,Action,Dark Fantasy,Medieval,Adventure,Action RPG,Dark,Nudity,Magic,Great Soundtrack,Atmospheric,Fantasy,RPG,Open World,Single-player,Choices Matter",CD PROJEKT RED,CD PROJEKT RED,138,2015,39.99,96.98048503
"Steam Cloud,Shooter,Simulation,Physics,Massively Multiplayer,Sandbox,Steam Workshop,Multiplayer,Mod,LAN PvP,Action,Building,Moddable,Comedy,Adventure,Indie,LAN Co-op,FPS,Captions available,Animation & Modeling,First-Person,Online PvP,Online Co-op,Co-op,Cross-Platform Multiplayer,Single-player,Includes level editor,Funny,Online Co-Op",Facepunch Studios,Valve,333,2006,9.99,95.08374174
"Sports,Action,Battle Royale,Online PvP,Cross-Platform Multiplayer,Massively Multiplayer,Downloadable Content,Online Co-op,Indie,MMO,Casual",Mediatonic,Devolver Digital,216,2020,10,55.4255742
"Shooter,Simulation,Third Person,Historical,Massively Multiplayer,Naval Combat,Multiplayer,Steam Workshop,Team-Based,Military,War,Naval,Action,Moddable,Indie,FPS,Third-Person Shooter,First-Person,Online PvP,Stats,Tactical,Wargame,Strategy,Steam Leaderboards,Includes level editor",Anvil Game Studios,Anvil Game Studios,65,2020,19.99,85.23576916
"Steam Cloud,Violent,Shooter,Third Person,Story Rich,Sci-fi,Female Protagonist,Psychological Horror,Action,Difficult,Adventure,Horror,Third-Person Shooter,Supernatural,Metroidvania,Great Soundtrack,Atmospheric,Surreal,Open World,Single-player,Epic",Remedy Entertainment,505 Games,240,2020,39.99,86.58682327
"Steam Cloud,Violent,Shooter,Multiplayer,Post-apocalyptic,Survival,Action,Dark Fantasy,Difficult,Adventure,Horror,Third-Person Shooter,Online Co-op,Replay Value,Atmospheric,Procedural Generation,Co-op,Lovecraftian,Souls-like,RPG,Single-player,Online Co-Op",Gunfire Games,Perfect World Entertainment,231,2019,39.99,82.06545949
"Free to Play,Massively Multiplayer,Character Customization,Multiplayer,War,Action,Controller,Medieval,Adventure,FPS,RTS,Strategy RPG,Swordplay,Online PvP,Online Co-op,Tactical,Co-op,In-App Purchases,Strategy,Open World,PvP,MMO,Online Co-Op",Booming Games,MY.GAMES,150,2019,0,69.90853042
"Free to Play,Massively Multiplayer,Multiplayer,Gore,War,Psychological Horror,Hentai,Casual,RTS,Nudity,Online PvP,MMORPG,Survival Horror,In-App Purchases,Strategy,Cross-Platform Multiplayer,RPG,Walking Simulator,MMO",IGG SINGAPORE PTE. LTD.,IGG SINGAPORE PTE. LTD.,153,2019,0,65.74421067
"Steam Cloud,Historical,Story Rich,Action,Horses,Medieval,Adventure,Indie,Nudity,First-Person,Swordplay,Crowdfunded,Great Soundtrack,Atmospheric,Kickstarter,Choose Your Own Adventure,Realistic,RPG,Open World,Single-player,Choices Matter",Warhorse Studios,Warhorse Studios,44,2018,29.99,77.45208454
"Crime,Steam Cloud,Shooter,Simulation,Multiplayer,Team-Based,Action,FPS,Gun Customization,First-Person,Online Co-op,Great Soundtrack,Stealth,Tactical,Co-op,Looter Shooter,In-App Purchases,Strategy,Single-player,Heist,PvE,Funny,Online Co-Op",OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,225,2013,9.99,86.00636536
